Country,Item,Year,Value
Algeria,Wheat and products,2004,2731
Algeria,Wheat and products,2005,2415
Algeria,Wheat and products,2006,2688
Algeria,Wheat and products,2007,2319
Algeria,Wheat and products,2008,1111
Algeria,Wheat and products,2009,2953
Algeria,Wheat and products,2010,2605
Algeria,Wheat and products,2011,2555
Algeria,Wheat and products,2012,3432
Algeria,Wheat and products,2013,3299
Algeria,Rice (Milled Equivalent),2004,0
Algeria,Rice (Milled Equivalent),2005,0
Algeria,Rice (Milled Equivalent),2006,0
Algeria,Rice (Milled Equivalent),2007,0
Algeria,Rice (Milled Equivalent),2008,0
Algeria,Rice (Milled Equivalent),2009,0
Algeria,Rice (Milled Equivalent),2010,0
Algeria,Rice (Milled Equivalent),2011,0
Algeria,Rice (Milled Equivalent),2012,0
Algeria,Rice (Milled Equivalent),2013,0
Algeria,Barley and products,2004,1212
Algeria,Barley and products,2005,1033
Algeria,Barley and products,2006,1236
Algeria,Barley and products,2007,1187
Algeria,Barley and products,2008,396
Algeria,Barley and products,2009,2203
Algeria,Barley and products,2010,1308
Algeria,Barley and products,2011,1104
Algeria,Barley and products,2012,1592
Algeria,Barley and products,2013,1499
Algeria,Maize and products,2004,1
Algeria,Maize and products,2005,1
Algeria,Maize and products,2006,2
Algeria,Maize and products,2007,2
Algeria,Maize and products,2008,1
Algeria,Maize and products,2009,1
Algeria,Maize and products,2010,0
Algeria,Maize and products,2011,1
Algeria,Maize and products,2012,2
Algeria,Maize and products,2013,1
Algeria,Oats,2004,89
Algeria,Oats,2005,78
Algeria,Oats,2006,89
Algeria,Oats,2007,92
Algeria,Oats,2008,27
Algeria,Oats,2009,96
Algeria,Oats,2010,88
Algeria,Oats,2011,67
Algeria,Oats,2012,110
Algeria,Oats,2013,113
Algeria,Sorghum and products,2004,1
Algeria,Sorghum and products,2005,1
Algeria,Sorghum and products,2006,2
Algeria,Sorghum and products,2007,2
Algeria,Sorghum and products,2008,1
Algeria,Sorghum and products,2009,0
Algeria,Sorghum and products,2010,0
Algeria,Sorghum and products,2011,1
Algeria,Sorghum and products,2012,2
Algeria,Sorghum and products,2013,2
Algeria,"Cereals, Other",2004,0
Algeria,"Cereals, Other",2005,0
Algeria,"Cereals, Other",2006,0
Algeria,"Cereals, Other",2007,0
Algeria,"Cereals, Other",2008,0
Algeria,"Cereals, Other",2009,0
Algeria,"Cereals, Other",2010,0
Algeria,"Cereals, Other",2011,0
Algeria,"Cereals, Other",2012,0
Algeria,"Cereals, Other",2013,0
Algeria,Potatoes and products,2004,1896
Algeria,Potatoes and products,2005,2157
Algeria,Potatoes and products,2006,2181
Algeria,Potatoes and products,2007,1507
Algeria,Potatoes and products,2008,2171
Algeria,Potatoes and products,2009,2636
Algeria,Potatoes and products,2010,3300
Algeria,Potatoes and products,2011,3862
Algeria,Potatoes and products,2012,4219
Algeria,Potatoes and products,2013,4928
Algeria,Sugar beet,2004,0
Algeria,Sugar beet,2005,0
Algeria,Sugar beet,2006,0
Algeria,Sugar beet,2007,0
Algeria,Sugar beet,2008,0
Algeria,Sugar beet,2009,0
Algeria,Sugar beet,2010,0
Algeria,Sugar beet,2011,0
Algeria,Sugar beet,2012,0
Algeria,Sugar beet,2013,0
Algeria,Sugar (Raw Equivalent),2004,0
Algeria,Sugar (Raw Equivalent),2005,0
Algeria,Sugar (Raw Equivalent),2006,0
Algeria,Sugar (Raw Equivalent),2007,0
Algeria,Sugar (Raw Equivalent),2008,0
Algeria,Sugar (Raw Equivalent),2009,0
Algeria,Sugar (Raw Equivalent),2010,0
Algeria,Sugar (Raw Equivalent),2011,0
Algeria,Sugar (Raw Equivalent),2012,0
Algeria,Sugar (Raw Equivalent),2013,0
Algeria,Honey,2004,3
Algeria,Honey,2005,3
Algeria,Honey,2006,3
Algeria,Honey,2007,3
Algeria,Honey,2008,3
Algeria,Honey,2009,3
Algeria,Honey,2010,5
Algeria,Honey,2011,5
Algeria,Honey,2012,5
Algeria,Honey,2013,6
Algeria,Beans,2004,2
Algeria,Beans,2005,1
Algeria,Beans,2006,1
Algeria,Beans,2007,1
Algeria,Beans,2008,1
Algeria,Beans,2009,1
Algeria,Beans,2010,1
Algeria,Beans,2011,1
Algeria,Beans,2012,1
Algeria,Beans,2013,1
Algeria,Peas,2004,7
Algeria,Peas,2005,5
Algeria,Peas,2006,5
Algeria,Peas,2007,6
Algeria,Peas,2008,4
